country ,IncomeGroup
Aruba,High income
Africa Eastern and Southern,
Afghanistan,Low income
Africa Western and Central,
Angola,Lower middle income
Albania,Upper middle income
Andorra,High income
Arab World,
United Arab Emirates,High income
Argentina,Upper middle income
Armenia,Upper middle income
American Samoa,Upper middle income
Antigua and Barbuda,High income
Australia,High income
Austria,High income
Azerbaijan,Upper middle income
Burundi,Low income
Belgium,High income
Benin,Lower middle income
Burkina Faso,Low income
Bangladesh,Lower middle income
Bulgaria,Upper middle income
Bahrain,High income
"Bahamas, The",High income
Bosnia and Herzegovina,Upper middle income
Belarus,Upper middle income
Belize,Lower middle income
Bermuda,High income
Bolivia,Lower middle income
Brazil,Upper middle income
Barbados,High income
Brunei Darussalam,High income
Bhutan,Lower middle income
Botswana,Upper middle income
Central African Republic,Low income
Canada,High income
Central Europe and the Baltics,
Switzerland,High income
Channel Islands,High income
Chile,High income
China,Upper middle income
Côte d'Ivoire,Lower middle income
Cameroon,Lower middle income
"Congo, Dem. Rep.",Low income
"Congo, Rep.",Lower middle income
Colombia,Upper middle income
Comoros,Lower middle income
Cabo Verde,Lower middle income
Costa Rica,Upper middle income
Caribbean small states,
Cuba,Upper middle income
Curaçao,High income
Cayman Islands,High income
Cyprus,High income
Czech Republic,High income
Germany,High income
Djibouti,Lower middle income
Dominica,Upper middle income
Denmark,High income
Dominican Republic,Upper middle income
Algeria,Lower middle income
East Asia & Pacific (excluding high income),
Early-demographic dividend,
East Asia & Pacific,
Europe & Central Asia (excluding high income),
Europe & Central Asia,
Ecuador,Upper middle income
"Egypt, Arab Rep.",Lower middle income
Euro area,
Eritrea,Low income
Spain,High income
Estonia,High income
Ethiopia,Low income
European Union,
Fragile and conflict affected situations,
Finland,High income
Fiji,Upper middle income
France,High income
Faroe Islands,High income
"Micronesia, Fed. Sts.",Lower middle income
Gabon,Upper middle income
United Kingdom,High income
Georgia,Upper middle income
Ghana,Lower middle income
Gibraltar,High income
Guinea,Low income
"Gambia, The",Low income
Guinea-Bissau,Low income
Equatorial Guinea,Upper middle income
Greece,High income
Grenada,Upper middle income
Greenland,High income
Guatemala,Upper middle income
Guam,High income
Guyana,Upper middle income
High income,
"Hong Kong SAR, China",High income
Honduras,Lower middle income
Heavily indebted poor countries (HIPC),
Croatia,High income
Haiti,Lower middle income
Hungary,High income
IBRD only,
IDA & IBRD total,
IDA total,
IDA blend,
Indonesia,Lower middle income
IDA only,
Isle of Man,High income
India,Lower middle income
Ireland,High income
"Iran, Islamic Rep.",Lower middle income
Iraq,Upper middle income
Iceland,High income
Israel,High income
Italy,High income
Jamaica,Upper middle income
Jordan,Upper middle income
Japan,High income
Kazakhstan,Upper middle income
Kenya,Lower middle income
Kyrgyz Republic,Lower middle income
Cambodia,Lower middle income
Kiribati,Lower middle income
St. Kitts and Nevis,High income
"Korea, Rep.",High income
Kuwait,High income
Latin America & Caribbean (excluding high income),
Lao PDR,Lower middle income
Lebanon,Upper middle income
Liberia,Low income
Libya,Upper middle income
St. Lucia,Upper middle income
Latin America & Caribbean,
Least developed countries: UN classification,
Low income,
Liechtenstein,High income
Sri Lanka,Lower middle income
Lower middle income,
Low & middle income,
Lesotho,Lower middle income
Late-demographic dividend,
Lithuania,High income
Luxembourg,High income
Latvia,High income
"Macao SAR, China",High income
St. Martin (French part),High income
Morocco,Lower middle income
Monaco,High income
Moldova,Upper middle income
Madagascar,Low income
Maldives,Upper middle income
Middle East & North Africa,
Mexico,Upper middle income
Marshall Islands,Upper middle income
Middle income,
North Macedonia,Upper middle income
Mali,Low income
Malta,High income
Myanmar,Lower middle income
Middle East & North Africa (excluding high income),
Montenegro,Upper middle income
Mongolia,Lower middle income
Northern Mariana Islands,High income
Mozambique,Low income
Mauritania,Lower middle income
Mauritius,Upper middle income
Malawi,Low income
Malaysia,Upper middle income
North America,
Namibia,Upper middle income
New Caledonia,High income
Niger,Low income
Nigeria,Lower middle income
Nicaragua,Lower middle income
Netherlands,High income
Norway,High income
Nepal,Lower middle income
Nauru,High income
New Zealand,High income
OECD members,
Oman,High income
Other small states,
Pakistan,Lower middle income
Panama,Upper middle income
Peru,Upper middle income
Philippines,Lower middle income
Palau,High income
Papua New Guinea,Lower middle income
Poland,High income
Pre-demographic dividend,
Puerto Rico,High income
"Korea, Dem. People's Rep.",Low income
Portugal,High income
Paraguay,Upper middle income
West Bank and Gaza,Lower middle income
Pacific island small states,
Post-demographic dividend,
French Polynesia,High income
Qatar,High income
Romania,Upper middle income
Russian Federation,Upper middle income
Rwanda,Low income
South Asia,
Saudi Arabia,High income
Sudan,Low income
Senegal,Lower middle income
Singapore,High income
Solomon Islands,Lower middle income
Sierra Leone,Low income
El Salvador,Lower middle income
San Marino,High income
Somalia,Low income
Serbia,Upper middle income
Sub-Saharan Africa (excluding high income),
South Sudan,Low income
Sub-Saharan Africa,
Small states,
São Tomé and Principe,Lower middle income
Suriname,Upper middle income
Slovak Republic,High income
Slovenia,High income
Sweden,High income
Eswatini,Lower middle income
Sint Maarten (Dutch part),High income
Seychelles,High income
Syrian Arab Republic,Low income
Turks and Caicos Islands,High income
Chad,Low income
East Asia & Pacific (IDA & IBRD),
Europe & Central Asia (IDA & IBRD),
Togo,Low income
Thailand,Upper middle income
Tajikistan,Lower middle income
Turkmenistan,Upper middle income
Latin America & Caribbean (IDA & IBRD),
Timor-Leste,Lower middle income
Middle East & North Africa (IDA & IBRD),
Tonga,Upper middle income
South Asia (IDA & IBRD),
Sub-Saharan Africa (IDA & IBRD),
Trinidad and Tobago,High income
Tunisia,Lower middle income
Turkey,Upper middle income
Tuvalu,Upper middle income
Tanzania,Lower middle income
Uganda,Low income
Ukraine,Lower middle income
Upper middle income,
Uruguay,High income
United States,High income
Uzbekistan,Lower middle income
St. Vincent and the Grenadines,Upper middle income
"Venezuela, RB",
British Virgin Islands,High income
Virgin Islands (U.S.),High income
Vietnam,Lower middle income
Vanuatu,Lower middle income
World,
Samoa,Lower middle income
Kosovo,Upper middle income
"Yemen, Rep.",Low income
South Africa,Upper middle income
Zambia,Lower middle income
Zimbabwe,Lower middle income